states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AN,Nicobars,,,,,,,,,,,,,,,,,,,62.0,811.0,,,,,,,,36842.0,,,,,25394.0,20313.0,
AN,North and Middle Andaman,,,,,,8.0,,,,,,,,,,,,,90.0,1839.0,,,,,,,,105597.0,,,,,78945.0,59522.0,
AN,South Andaman,,,,,3.0,28.0,,,,,,,,,,,,,732.0,8012.0,,,,,,,,238142.0,,,,,189662.0,120322.0,
AN,Unknown,,,,,,,,9.0,,,,,,,3.0,,5.0,,,,,,,,,,,,7651.0,129.0,7518.0,,,,
AP,Anantapur,4.0,,5.0,,4575.0,5370.0,,50.0,,,,,,,38.0,,58.0,,92803.0,140903.0,,,,,{'date': '2020-11-26'},,,4083315.0,157843.0,1093.0,156699.0,787085.0,2690082.0,1611476.0,
AP,Chittoor,64.0,1.0,87.0,,878.0,1306.0,,631.0,,,,,,,516.0,6.0,629.0,,63824.0,119541.0,,,,,{'date': '2020-11-26'},,,4170468.0,246935.0,1947.0,244144.0,780322.0,2832987.0,1807873.0,
AP,East Godavari,87.0,,121.0,,41.0,237.0,,401.0,,,,,,,604.0,,520.0,,36973.0,223236.0,,,,,{'date': '2020-11-26'},,,5151549.0,293836.0,1290.0,291610.0,944746.0,3532220.0,1990578.0,
AP,Foreign Evacuees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,,434.0,,,,
AP,Guntur,33.0,,198.0,,1119.0,1248.0,,509.0,,,,,,,272.0,4.0,619.0,,285377.0,156818.0,,,,,{'date': '2020-11-26'},,,4889230.0,178068.0,1237.0,176629.0,833823.0,3440118.0,1891773.0,
AP,Krishna,46.0,1.0,71.0,,51.0,337.0,,405.0,,,,,,,422.0,9.0,467.0,,75352.0,230788.0,,,,,{'date': '2020-11-26'},,,4529009.0,119348.0,1430.0,117130.0,782232.0,2971604.0,1914927.0,
AP,Kurnool,6.0,,3.0,,4716.0,1538.0,,31.0,,,,,,,25.0,,26.0,,178620.0,73119.0,,,,,{'date': '2020-11-26'},,,4046601.0,124142.0,853.0,123264.0,867361.0,2672759.0,1290419.0,
AP,Other State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.0,,2461.0,,,,
AP,Prakasam,6.0,,37.0,,3292.0,5872.0,,243.0,,,,,,,103.0,3.0,290.0,,137338.0,130213.0,,,,,{'date': '2020-11-26'},,,3392764.0,138482.0,1124.0,136989.0,697340.0,2321031.0,1521177.0,
AP,S.P.S. Nellore,34.0,1.0,23.0,,2724.0,1639.0,,283.0,,,,,,,155.0,2.0,235.0,,96973.0,114393.0,,,,,{'date': '2020-11-26'},,,2966082.0,146388.0,1053.0,144919.0,682964.0,2143402.0,1403240.0,
AP,Srikakulam,19.0,,20.0,,2.0,6.0,,47.0,,,,,,,132.0,,72.0,,18883.0,129575.0,,,,,{'date': '2020-11-26'},,,2699471.0,123109.0,786.0,122136.0,670899.0,1630248.0,974734.0,
AP,Visakhapatnam,27.0,,30.0,,1309.0,2311.0,,273.0,,,,,,,237.0,1.0,227.0,,65301.0,207340.0,,,,,{'date': '2020-11-26'},,,4288113.0,157737.0,1127.0,156492.0,744983.0,2999432.0,1864960.0,
AP,Vizianagaram,7.0,1.0,11.0,,601.0,1855.0,,30.0,,,,,,,53.0,1.0,38.0,,44847.0,123576.0,,,,,{'date': '2020-11-26'},,,2342868.0,82967.0,672.0,82231.0,531433.0,1393491.0,996097.0,
AP,West Godavari,40.0,,44.0,,878.0,1884.0,,171.0,,,,,,,234.0,4.0,246.0,,61021.0,146562.0,,,,,{'date': '2020-11-26'},,,3934782.0,179077.0,1117.0,177680.0,793098.0,2525317.0,1778807.0,
AP,Y.S.R. Kadapa,12.0,,25.0,,1005.0,1101.0,,146.0,,,,,,,82.0,,163.0,,65843.0,90958.0,,,,,{'date': '2020-11-26'},,,2884524.0,115623.0,644.0,114904.0,671761.0,1824032.0,1328711.0,
